,Country,economy,Year,Unemployment_Percentage
5544,Small states,SST,YR1980,
5545,Pre-demographic dividend,PRE,YR1980,
5546,Post-demographic dividend,PST,YR1980,
5547,Pacific island small states,PSS,YR1980,
5548,Other small states,OSS,YR1980,
5549,OECD members,OED,YR1980,
5550,Not classified,INX,YR1980,
5551,North America,NAC,YR1980,
5552,Middle income,MIC,YR1980,
5553,Middle East & North Africa (IDA & IBRD countries),TMN,YR1980,
5554,Middle East & North Africa (excluding high income),MNA,YR1980,
5555,Middle East & North Africa,MEA,YR1980,
5556,Lower middle income,LMC,YR1980,
5557,Low income,LIC,YR1980,
5558,Low & middle income,LMY,YR1980,
5559,Least developed countries: UN classification,LDC,YR1980,
5560,Latin America & the Caribbean (IDA & IBRD countries),TLA,YR1980,
5561,Latin America & Caribbean (excluding high income),LAC,YR1980,
5562,Latin America & Caribbean,LCN,YR1980,
5563,Late-demographic dividend,LTE,YR1980,
5564,IDA total,IDA,YR1980,
5565,IDA only,IDX,YR1980,
5566,IDA blend,IDB,YR1980,
5567,IDA & IBRD total,IBT,YR1980,
5568,IBRD only,IBD,YR1980,
5569,High income,HIC,YR1980,
5570,Heavily indebted poor countries (HIPC),HPC,YR1980,
5571,Fragile and conflict affected situations,FCS,YR1980,
5572,European Union,EUU,YR1980,
5573,Europe & Central Asia (IDA & IBRD countries),TEC,YR1980,
5574,Europe & Central Asia (excluding high income),ECA,YR1980,
5575,Europe & Central Asia,ECS,YR1980,
5576,Euro area,EMU,YR1980,
5577,East Asia & Pacific (IDA & IBRD countries),TEA,YR1980,
5578,East Asia & Pacific (excluding high income),EAP,YR1980,
5579,East Asia & Pacific,EAS,YR1980,
5580,Early-demographic dividend,EAR,YR1980,
5581,Central Europe and the Baltics,CEB,YR1980,
5582,Caribbean small states,CSS,YR1980,
5583,Arab World,ARB,YR1980,
5584,Africa Western and Central,AFW,YR1980,
5585,Africa Eastern and Southern,AFE,YR1980,
5586,Zimbabwe,ZWE,YR1981,
5587,Zambia,ZMB,YR1981,
5588,"Yemen, Rep.",YEM,YR1981,
5589,West Bank and Gaza,PSE,YR1981,
5590,Virgin Islands (U.S.),VIR,YR1981,
5591,Viet Nam,VNM,YR1981,
5592,"Venezuela, RB",VEN,YR1981,
5593,Vanuatu,VUT,YR1981,
5594,Uzbekistan,UZB,YR1981,
5595,Uruguay,URY,YR1981,
5596,United States,USA,YR1981,
5597,United Kingdom,GBR,YR1981,
5598,United Arab Emirates,ARE,YR1981,
5599,Ukraine,UKR,YR1981,
5600,Uganda,UGA,YR1981,
5601,Tuvalu,TUV,YR1981,
5602,Turks and Caicos Islands,TCA,YR1981,
5603,Turkmenistan,TKM,YR1981,
5604,Turkiye,TUR,YR1981,
5605,Tunisia,TUN,YR1981,
5606,Trinidad and Tobago,TTO,YR1981,
5607,Tonga,TON,YR1981,
5608,Togo,TGO,YR1981,
5609,Timor-Leste,TLS,YR1981,
5610,Thailand,THA,YR1981,
5611,Tanzania,TZA,YR1981,
5612,Tajikistan,TJK,YR1981,
5613,Syrian Arab Republic,SYR,YR1981,
5614,Switzerland,CHE,YR1981,
5615,Sweden,SWE,YR1981,
5616,Suriname,SUR,YR1981,
5617,Sudan,SDN,YR1981,
5618,St. Vincent and the Grenadines,VCT,YR1981,
5619,St. Martin (French part),MAF,YR1981,
5620,St. Lucia,LCA,YR1981,
5621,St. Kitts and Nevis,KNA,YR1981,
5622,Sri Lanka,LKA,YR1981,
5623,Spain,ESP,YR1981,
5624,South Sudan,SSD,YR1981,
5625,South Africa,ZAF,YR1981,
5626,Somalia,SOM,YR1981,
5627,Solomon Islands,SLB,YR1981,
5628,Slovenia,SVN,YR1981,
5629,Slovak Republic,SVK,YR1981,
5630,Sint Maarten (Dutch part),SXM,YR1981,
5631,Singapore,SGP,YR1981,
5632,Sierra Leone,SLE,YR1981,
5633,Seychelles,SYC,YR1981,
5634,Serbia,SRB,YR1981,
5635,Senegal,SEN,YR1981,
5636,Saudi Arabia,SAU,YR1981,
5637,Sao Tome and Principe,STP,YR1981,
5638,San Marino,SMR,YR1981,
5639,Samoa,WSM,YR1981,
5640,Rwanda,RWA,YR1981,
5641,Russian Federation,RUS,YR1981,
5642,Romania,ROU,YR1981,
5643,Qatar,QAT,YR1981,
5644,Puerto Rico,PRI,YR1981,
5645,Portugal,PRT,YR1981,
5646,Poland,POL,YR1981,
5647,Philippines,PHL,YR1981,
5648,Peru,PER,YR1981,
5649,Paraguay,PRY,YR1981,
